"","codcomp","count_H3","count_MA3","count_R3","n","tasaH3","tasaMA3","tasaR3"
"1",113001001,0,0,0,6,0.5,0,0.333333333333333
"2",113001003,0,0,0,2,0,0,0
"3",113001006,0,0,0,6,0.5,0,0.333333333333333
"4",113002902,0,0,0,6,0.333333333333333,0,0.333333333333333
"5",113004002,0,0,0,6,0.333333333333333,0,0.166666666666667
"6",113004004,0,0,0,6,0.5,0,0.166666666666667
"7",113005001,0,0,0,6,0.333333333333333,0,0.166666666666667
"8",113005003,0,0,0,6,0.5,0,0.166666666666667
"9",113005005,0,0,0,4,0.25,0,0
"10",113005006,0,0,0,5,0.2,0,0.4
"11",113005009,0,0,0,3,0,0,0.666666666666667
"12",113005012,0,0,0,6,0.833333333333333,0,0.166666666666667
"13",113018011,0,0,0,6,0.333333333333333,0,0.166666666666667
"14",113018014,0,0,0,6,0,0,0.333333333333333
"15",113019001,0,0,0,6,0.166666666666667,0,0.333333333333333
"16",113019003,0,0,0,6,0,0,0.166666666666667
"17",113019006,0,0,0,6,0.166666666666667,0,0.166666666666667
"18",113019008,0,0,0,6,0.333333333333333,0,0.166666666666667
"19",113020003,0,0,0,6,0.5,0,0.333333333333333
"20",113021017,0,0,0,6,0,0,0.333333333333333
"21",113028002,0,3,0,6,0.5,0.5,0
"22",113028004,1,0,0,7,0.714285714285714,0,0
"23",113028007,0,0,0,6,0.5,0,0.5
"24",113028600,0,0,0,6,0.833333333333333,0,0.166666666666667
"25",113029008,0,0,0,6,0.666666666666667,0,0
"26",113029010,0,1,0,6,0.666666666666667,0.166666666666667,0.166666666666667
"27",113030004,0,0,0,7,0.428571428571429,0,0.142857142857143
"28",113030007,0,0,0,6,0.166666666666667,0,0.333333333333333
"29",113030601,0,0,0,6,0.666666666666667,0,0.166666666666667
